"No.","Time","Source","Destination","Protocol","Length","Info"
"88","46.634315","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=83 Ack=3 Win=509 Len=10 TSval=2488292735 TSecr=2826620042 [TCP segment of a reassembled PDU]"
"89","46.634436","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=93 Win=502 Len=0 TSval=2826621044 TSecr=2488292735"
"90","46.634485","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=73 Ack=182 Win=65152 Len=4 TSval=1728611777 TSecr=3504558646 [TCP segment of a reassembled PDU]"
"91","46.634557","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=182 Ack=77 Win=64256 Len=0 TSval=3504558646 TSecr=1728611777"
"92","47.634658","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=182 Ack=77 Win=64256 Len=12 TSval=3504559647 TSecr=1728611777"
"93","47.635239","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=77 Ack=194 Win=65152 Len=4 TSval=1728612778 TSecr=3504559647"
"94","47.635412","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=194 Ack=81 Win=64256 Len=0 TSval=3504559647 TSecr=1728612778"
"95","47.636800","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=194 Ack=81 Win=64256 Len=4 TSval=3504559649 TSecr=1728612778"
"96","47.637629","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=93 Ack=3 Win=509 Len=10 TSval=2488293739 TSecr=2826621044 [TCP segment of a reassembled PDU]"
"97","47.637882","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=103 Win=502 Len=0 TSval=2826622048 TSecr=2488293739"
"98","47.637923","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=81 Ack=198 Win=65152 Len=4 TSval=1728612781 TSecr=3504559649"
"99","47.637994","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=198 Ack=85 Win=64256 Len=0 TSval=3504559650 TSecr=1728612781"
"100","48.635700","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=198 Ack=85 Win=64256 Len=12 TSval=3504560648 TSecr=1728612781"
"101","48.636755","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=85 Ack=210 Win=65152 Len=4 TSval=1728613780 TSecr=3504560648 [TCP segment of a reassembled PDU]"
"102","48.636875","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=210 Ack=89 Win=64256 Len=0 TSval=3504560649 TSecr=1728613780"
"103","48.637935","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=210 Ack=89 Win=64256 Len=4 TSval=3504560650 TSecr=1728613780 [TCP segment of a reassembled PDU]"
"104","48.638769","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=103 Ack=3 Win=509 Len=10 TSval=2488294740 TSecr=2826622048 [TCP segment of a reassembled PDU]"
"105","48.638937","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=113 Win=502 Len=0 TSval=2826623049 TSecr=2488294740"
"106","48.638994","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=89 Ack=214 Win=65152 Len=4 TSval=1728613782 TSecr=3504560650 [TCP segment of a reassembled PDU]"
